cell_id,cy,cx,bldg_n,glass_frac,road_segs,shore_dist,mort_n,risk_p,risk,baseline_risk,intervention_risk,expected_reduction,best_intervention,intervention_rankings
63,41.8345,-87.6725,61.0,0.8064516129032258,19.0,0.1495000000000033,0.0,0.06516613581722176,Low,0.06516613581722176,0.05991567272376385,8.057042246887912,Anti-collision window film,Anti-collision window film (8.1%); Wildlife crossing corridor (6.4%); Vegetation buffer (3.8%); Reduced night lighting (-26.1%)
64,41.8375,-87.6725,4.0,0.2,7.0,0.1495000000000033,0.0,0.02451246091614089,Low,0.02451246091614089,0.02451246091614089,0.0,Reduced night lighting,Reduced night lighting (0.0%); Wildlife crossing corridor (-28.0%); Anti-collision window film (-43.9%); Vegetation buffer (-143.4%)
65,41.840500000000006,-87.6725,1.0,0.0,2.0,0.1495000000000033,0.0,0.031775197755712095,Low,0.031775197755712095,0.031775197755712095,0.0,Anti-collision window film,Anti-collision window film (0.0%); Reduced night lighting (0.0%); Vegetation buffer (0.0%); Wildlife crossing corridor (0.0%)
66,41.8435,-87.6725,1.0,0.0,0.0,0.1495000000000033,0.0,0.04071071988123938,Low,0.04071071988123938,0.04071071988123938,0.0,Anti-collision window film,Anti-collision window film (0.0%); Reduced night lighting (0.0%); Vegetation buffer (0.0%); Wildlife crossing corridor (0.0%)
67,41.8465,-87.6725,2.0,0.0,0.0,0.1495000000000033,0.0,0.07503227652800487,Low,0.07503227652800487,0.07503227652800487,0.0,Anti-collision window film,Anti-collision window film (0.0%); Reduced night lighting (0.0%); Vegetation buffer (0.0%); Wildlife crossing corridor (0.0%)
68,41.849500000000006,-87.6725,84.0,0.9176470588235294,15.0,0.1495000000000033,1.0,0.42243821662411213,Medium,0.42243821662411213,0.22859175599339146,45.88752934803868,Anti-collision window film,Anti-collision window film (45.9%); Vegetation buffer (44.4%); Reduced night lighting (33.2%); Wildlife crossing corridor (7.3%)
69,41.8525,-87.6725,282.0,0.9752650176678446,20.0,0.1495000000000033,0.0,0.03072065425169642,Low,0.03072065425169642,0.0486128823566981,-58.241689641143154,Wildlife crossing corridor,Wildlife crossing corridor (-58.2%); Anti-collision window film (-106.2%); Vegetation buffer (-151.4%); Reduced night lighting (-199.1%)
70,41.855500000000006,-87.6725,159.0,0.96875,27.0,0.1495000000000033,0.0,0.06389284704463749,Low,0.06389284704463749,0.08219850857243749,-28.650564772941024,Anti-collision window film,Anti-collision window film (-28.7%); Wildlife crossing corridor (-32.2%); Vegetation buffer (-51.2%); Reduced night lighting (-117.7%)
71,41.8585,-87.6725,131.0,0.9848484848484849,26.0,0.1495000000000033,0.0,0.08283056950617176,Low,0.08283056950617176,0.10283364693097051,-24.149390187771562,Wildlife crossing corridor,Wildlife crossing corridor (-24.1%); Anti-collision window film (-37.1%); Vegetation buffer (-46.0%); Reduced night lighting (-95.6%)
72,41.8615,-87.6725,6.0,0.5714285714285714,7.0,0.1495000000000033,0.0,0.09947262558139201,Low,0.09947262558139201,0.09067601510029383,8.84324750622018,Vegetation buffer,Vegetation buffer (8.8%); Reduced night lighting (-1.2%); Wildlife crossing corridor (-5.0%); Anti-collision window film (-53.5%)
73,41.8645,-87.6725,3.0,0.5,40.0,0.1495000000000033,0.0,0.11439466952381347,Low,0.11439466952381347,0.09199482550245458,19.581195622664854,Wildlife crossing corridor,Wildlife crossing corridor (19.6%); Vegetation buffer (3.9%); Reduced night lighting (2.4%); Anti-collision window film (-95.5%)
74,41.86750000000001,-87.6725,12.0,0.3076923076923077,19.0,0.1495000000000033,0.0,0.06950348022052874,Low,0.06950348022052874,0.0730146269131989,-5.051756662442785,Vegetation buffer,Vegetation buffer (-5.1%); Reduced night lighting (-9.8%); Wildlife crossing corridor (-17.8%); Anti-collision window film (-62.6%)
75,41.8705,-87.6725,21.0,0.0,19.0,0.1495000000000033,0.0,0.1348308849605728,Low,0.1348308849605728,0.1348308849605728,0.0,Anti-collision window film,Anti-collision window film (0.0%); Vegetation buffer (0.0%); Reduced night lighting (-3.0%); Wildlife crossing corridor (-8.2%)
76,41.8735,-87.6725,19.0,0.4,14.0,0.1495000000000033,0.0,0.09333099629126884,Low,0.09333099629126884,0.10146920161778676,-8.719724046575138,Wildlife crossing corridor,Wildlife crossing corridor (-8.7%); Vegetation buffer (-14.6%); Reduced night lighting (-16.1%); Anti-collision window film (-53.3%)
77,41.87650000000001,-87.6725,7.0,0.25,31.0,0.1495000000000033,0.0,0.09358337401201171,Low,0.09358337401201171,0.06640693336460761,29.039817098190884,Wildlife crossing corridor,Wildlife crossing corridor (29.0%); Reduced night lighting (27.7%); Vegetation buffer (-7.1%); Anti-collision window film (-92.8%)
78,41.8795,-87.6725,16.0,0.7647058823529411,15.0,0.1495000000000033,0.0,0.12135796041261658,Low,0.12135796041261658,0.08463981206293607,30.256069090844107,Anti-collision window film,Anti-collision window film (30.3%); Vegetation buffer (17.1%); Reduced night lighting (2.8%); Wildlife crossing corridor (-5.6%)
79,41.88250000000001,-87.6725,21.0,0.7272727272727273,16.0,0.1495000000000033,0.0,0.08648537643189208,Low,0.08648537643189208,0.07108648035885722,17.805202114326942,Anti-collision window film,Anti-collision window film (17.8%); Vegetation buffer (2.0%); Reduced night lighting (-6.4%); Wildlife crossing corridor (-27.6%)
80,41.8855,-87.6725,48.0,0.9795918367346939,26.0,0.1495000000000033,0.0,0.10581418254150453,Low,0.10581418254150453,0.11108790889254638,-4.983950378271163,Anti-collision window film,Anti-collision window film (-5.0%); Vegetation buffer (-10.3%); Wildlife crossing corridor (-23.8%); Reduced night lighting (-56.0%)
81,41.8885,-87.6725,59.0,0.9833333333333333,26.0,0.1495000000000033,0.0,0.038653571562617034,Low,0.038653571562617034,0.0515325056457381,-33.31887213127971,Anti-collision window film,Anti-collision window film (-33.3%); Vegetation buffer (-51.5%); Reduced night lighting (-57.2%); Wildlife crossing corridor (-74.7%)
82,41.8915,-87.6725,245.0,0.6463414634146342,22.0,0.1495000000000033,0.0,0.00858012359531248,Low,0.00858012359531248,0.007222524217042884,15.822608651130437,Vegetation buffer,Vegetation buffer (15.8%); Reduced night lighting (-33.2%); Wildlife crossing corridor (-57.1%); Anti-collision window film (-83.5%)
83,41.89450000000001,-87.6725,317.0,0.2578616352201258,22.0,0.1495000000000033,0.0,0.005797168409003327,Low,0.005797168409003327,0.007273279969943376,-25.46263031875295,Reduced night lighting,Reduced night lighting (-25.5%); Wildlife crossing corridor (-60.8%); Vegetation buffer (-198.0%); Anti-collision window film (-474.1%)
84,41.8975,-87.6725,267.0,0.10074626865671642,21.0,0.1495000000000033,0.0,0.02475830747048431,Low,0.02475830747048431,0.02475830747048431,0.0,Anti-collision window film,Anti-collision window film (0.0%); Vegetation buffer (-20.2%); Wildlife crossing corridor (-25.3%); Reduced night lighting (-80.8%)
85,41.900499999999994,-87.6725,327.0,0.04573170731707317,25.0,0.1495000000000033,0.0,0.028282195909544266,Low,0.028282195909544266,0.02475830747048431,12.459741281513306,Reduced night lighting,Reduced night lighting (12.5%); Anti-collision window film (0.0%); Vegetation buffer (0.0%); Wildlife crossing corridor (-13.3%)
